0.5, 0, 2.25, 0, 
0.500001, 0.0029999, 2.24995, -0.0998645, 
0.500006, 0.00599932, 2.2498, -0.199449, 
0.500013, 0.00899785, 2.24955, -0.298742, 
0.500024, 0.0119951, 2.2492, -0.397729, 
0.500037, 0.0149906, 2.24876, -0.496397, 
0.500054, 0.0179839, 2.24821, -0.594735, 
0.500073, 0.0209747, 2.24757, -0.692729, 
0.500096, 0.0239626, 2.24682, -0.790368, 
0.500121, 0.0269471, 2.24599, -0.887638, 
0.50015, 0.0299278, 2.24505, -0.984527, 
0.500181, 0.0329044, 2.24402, -1.08102, 
0.500216, 0.0358763, 2.24289, -1.17711, 
0.500253, 0.0388433, 2.24166, -1.27279, 
0.500293, 0.0418049, 2.24034, -1.36803, 
0.500337, 0.0447607, 2.23893, -1.46283, 
0.500383, 0.0477104, 2.23742, -1.55718, 
0.500432, 0.0506534, 2.23581, -1.65107, 
0.500484, 0.0535895, 2.23411, -1.74447, 
0.500539, 0.0565183, 2.23232, -1.83739, 
0.500597, 0.0594393, 2.23044, -1.92981, 
0.500658, 0.0623521, 2.22846, -2.02172, 
0.500722, 0.0652565, 2.2264, -2.11311, 
0.500789, 0.0681519, 2.22424, -2.20396, 
0.500858, 0.0710381, 2.22199, -2.29427, 
0.500931, 0.0739146, 2.21965, -2.38402, 
0.501006, 0.076781, 2.21722, -2.47321, 
0.501084, 0.0796371, 2.2147, -2.56182, 
0.501165, 0.0824823, 2.2121, -2.64984, 
0.501249, 0.0853164, 2.2094, -2.73727, 
0.501336, 0.088139, 2.20662, -2.82408, 
0.501425, 0.0909497, 2.20376, -2.91028, 
0.501518, 0.0937482, 2.2008, -2.99585, 
0.501613, 0.0965341, 2.19776, -3.08077, 
0.501711, 0.099307, 2.19464, -3.16505, 
0.501812, 0.102067, 2.19144, -3.24867, 
0.501915, 0.104813, 2.18814, -3.33162, 
0.502021, 0.107544, 2.18477, -3.41389, 
0.50213, 0.110262, 2.18132, -3.49548, 
0.502242, 0.112965, 2.17778, -3.57637, 
